Level of Success,% of DD SignUps,% of N DD Signups,Maximum Incentive,,,,,,,rf
0.00%,37.00%,63.00%,£0.00,,,,,,,
1.00%,38.00%,62.00%,£8.13,,,,,,,
2.00%,39.00%,61.00%,£15.84,,,,,,,
3.00%,40.00%,60.00%,£23.16,,,,,,,
4.00%,41.00%,59.00%,£30.13,,,,,,,
5.00%,42.00%,58.00%,£36.76,,,,,,,
6.00%,43.00%,57.00%,£43.09,,,,,,,
7.00%,44.00%,56.00%,£49.13,,,,,,,
8.00%,45.00%,55.00%,£54.90,,,,,,,
9.00%,46.00%,54.00%,£60.42,,,,,,,
10.00%,47.00%,53.00%,£65.71,,,,,,,
11.00%,48.00%,52.00%,£70.77,,,,,,,
12.00%,49.00%,51.00%,£75.63,,,,,,,
13.00%,50.00%,50.00%,£80.29,,,,,,,
14.00%,51.00%,49.00%,£84.77,,,,,,,
15.00%,52.00%,48.00%,£89.08,,,,,,,
16.00%,53.00%,47.00%,£93.23,,,,,,,
17.00%,54.00%,46.00%,£97.22,,,,,,,
18.00%,55.00%,45.00%,£101.07,,,,,,,
19.00%,56.00%,44.00%,£104.78,,,,,,,
20.00%,57.00%,43.00%,£108.36,,,,,,,
21.00%,58.00%,42.00%,£111.81,,,,,,,
22.00%,59.00%,41.00%,£115.15,,,,,,,
23.00%,60.00%,40.00%,£118.38,,,,,,,
24.00%,61.00%,39.00%,£121.50,,,,,,,
25.00%,62.00%,38.00%,£124.53,,,,,,,
26.00%,63.00%,37.00%,£127.45,,,,,,,
27.00%,64.00%,36.00%,£130.28,,,,,,,
28.00%,65.00%,35.00%,£133.03,,,,,,,
29.00%,66.00%,34.00%,£135.69,,,,,,,
30.00%,67.00%,33.00%,£138.28,,,,,,,
31.00%,68.00%,32.00%,£140.79,,,,,,,
32.00%,69.00%,31.00%,£143.22,,,,,,,
33.00%,70.00%,30.00%,£145.59,,,,,,,
34.00%,71.00%,29.00%,£147.89,,,,,,,
35.00%,72.00%,28.00%,£150.12,,,,,,,
36.00%,73.00%,27.00%,£152.30,,,,,,,
37.00%,74.00%,26.00%,£154.41,,,,,,,
38.00%,75.00%,25.00%,£156.47,,,,,,,
39.00%,76.00%,24.00%,£158.47,,,,,,,
40.00%,77.00%,23.00%,£160.43,,,,,,,
41.00%,78.00%,22.00%,£162.33,,,,,,,
42.00%,79.00%,21.00%,£164.18,,,,,,,
43.00%,80.00%,20.00%,£165.99,,,,,,,
44.00%,81.00%,19.00%,£167.76,,,,,,,
45.00%,82.00%,18.00%,£169.48,,,,,,,
46.00%,83.00%,17.00%,£171.15,,,,,,,
47.00%,84.00%,16.00%,£172.79,,,,,,,
48.00%,85.00%,15.00%,£174.39,,,,,,,
49.00%,86.00%,14.00%,£175.96,,,,,,,
50.00%,87.00%,13.00%,£177.48,,,,,,,
51.00%,88.00%,12.00%,£178.98,,,,,,,
52.00%,89.00%,11.00%,£180.44,,,,,,,
53.00%,90.00%,10.00%,£181.86,,,,,,,
54.00%,91.00%,9.00%,£183.26,,,,,,,
55.00%,92.00%,8.00%,£184.62,,,,,,,
56.00%,93.00%,7.00%,£185.96,,,,,,,
57.00%,94.00%,6.00%,£187.26,,,,,,,
58.00%,95.00%,5.00%,£188.54,,,,,,,
59.00%,96.00%,4.00%,£189.80,,,,,,,
60.00%,97.00%,3.00%,£191.02,,,,,,,
61.00%,98.00%,2.00%,£192.23,,,,,,,
62.00%,99.00%,1.00%,£193.40,,,,,,,
63.00%,100.00%,0.00%,£194.56,,,,,,,
