user_id,gender,first,last,electronics,nonelectronics,total,quantity,home,sports,clothes,health,books,digital,toys,subscribe,city
10001,M,49,29,109,248,357,10,3,2,2,0,1,0,2,no,London
10002,M,39,27,35,103,138,3,0,1,0,1,0,0,1,no,London
10003,F,19,15,25,147,172,2,0,0,2,0,0,0,0,no,London
10004,F,7,7,15,257,272,1,0,0,0,0,1,0,0,no,London
10005,F,15,15,15,134,149,1,0,0,1,0,0,0,0,no,Birmingham
10006,F,7,7,15,98,113,1,0,1,0,0,0,0,0,yes,London
10007,M,25,25,15,0,15,1,0,0,0,1,0,0,0,no,London
10008,M,41,1,124,114,238,11,2,1,2,3,0,0,3,no,London
10009,F,65,5,130,288,418,11,0,2,3,2,0,3,1,yes,Glasgow
10010,F,11,11,15,108,123,1,0,1,0,0,0,0,0,no,sheffield
10011,F,7,5,25,269,294,2,0,1,1,0,0,0,0,no,London
10012,F,15,13,27,146,173,2,0,1,0,0,1,0,0,no,Glasgow
10013,F,13,13,15,211,226,1,0,0,0,1,0,0,0,no,Liverpool
10014,M,17,5,37,251,288,3,0,0,2,0,1,0,0,no,Birmingham
10015,F,25,25,15,0,15,1,0,0,1,0,0,0,0,no,Glasgow
10016,F,5,1,23,111,134,2,2,0,0,0,0,0,0,no,Birmingham
10017,F,19,7,39,137,176,3,0,0,2,0,0,0,1,no,sheffield
10018,M,33,7,147,300,447,12,4,0,6,0,0,2,0,no,London
10019,F,17,11,26,181,207,2,0,0,1,1,0,0,0,no,sheffield
10020,F,13,11,25,276,301,2,0,1,1,0,0,0,0,no,Birmingham
10021,M,15,9,25,177,202,2,0,1,1,0,0,0,0,no,Birmingham
10022,F,15,15,15,72,87,1,0,0,0,0,1,0,0,no,London
10023,M,55,23,101,287,388,9,2,0,3,1,1,1,1,no,Glasgow
10024,F,5,1,29,85,114,2,0,0,0,0,0,1,1,no,London
10025,F,21,13,25,272,297,2,0,1,1,0,0,0,0,no,London
10026,F,15,15,15,14,29,1,1,0,0,0,0,0,0,no,London
10027,M,25,11,82,243,325,7,1,0,2,2,0,1,1,no,Manchester
10028,F,67,13,137,74,211,12,2,0,6,1,1,0,2,no,Glasgow
