regularp,organicp,hhincome,organickg
1.1900001,1.1900001,45,2
.58999997,.79000002,65,2
.58999997,.99000001,65,2.6666667
.88999999,1.09,55,0
.88999999,1.09,25,3
.58999997,.79000002,15,3
.58999997,.79000002,25,2
.58999997,.58999997,45,1.6666666
1.1900001,1.1900001,105,.5
1.1900001,1.1900001,25,2.3333333
.58999997,.79000002,130,3
.58999997,.58999997,130,2
1.1900001,1.39,45,4
.58999997,.58999997,25,1.6666666
.58999997,.58999997,65,2.6666667
.88999999,.88999999,15,0
1.1900001,1.39,45,1
.58999997,.99000001,85,0
.88999999,1.09,250,0
1.1900001,1.39,85,10
.58999997,.79000002,105,2
.88999999,.88999999,45,.66666669
.58999997,.99000001,25,0
.88999999,1.29,45,0
.58999997,.79000002,130,2
.58999997,.99000001,95,3
1.1900001,1.39,55,1
1.1900001,1.59,25,0
.88999999,.88999999,65,1.3333334
.58999997,.99000001,95,.66666669
.88999999,.88999999,55,1
.88999999,.88999999,55,0
.58999997,.79000002,25,.66666669
.58999997,.79000002,65,2
.88999999,1.09,55,2
1.1900001,1.1900001,35,2
.88999999,1.09,105,0
.58999997,.79000002,85,3.3333333
1.1900001,1.39,35,0
.88999999,1.09,65,0
1.1900001,1.1900001,55,1
1.1900001,1.1900001,45,2
.58999997,.99000001,95,3
.58999997,.79000002,65,2
1.1900001,1.59,45,0
.58999997,.58999997,25,5
.58999997,.99000001,45,1
.58999997,.99000001,105,1
.88999999,.88999999,35,2
1.1900001,1.39,35,.5
1.1900001,1.59,45,5
.58999997,.79000002,45,0
.58999997,.58999997,45,1.6666666
.88999999,1.09,15,0
.88999999,.88999999,35,4
.88999999,1.09,55,0
.88999999,.88999999,45,2
1.1900001,1.1900001,45,1.6666666
.58999997,.79000002,175,2
.88999999,.88999999,45,.5
1.1900001,1.59,65,2
.88999999,.88999999,75,0
1.1900001,1.1900001,45,1.3333334
1.1900001,1.39,75,0
.58999997,.58999997,75,3
.58999997,.79000002,55,2
.58999997,.58999997,175,2
.58999997,.79000002,85,0
.58999997,.99000001,65,4
.58999997,.99000001,35,1
.88999999,1.29,130,0
1.1900001,1.59,45,0
.88999999,1.29,55,2
.58999997,.99000001,35,0
.88999999,1.09,25,1
1.1900001,1.1900001,25,0
.58999997,.79000002,45,5
1.1900001,1.1900001,55,1.3333334
.88999999,.88999999,85,0
1.1900001,1.39,45,3.3333333
.88999999,1.09,25,3.3333333
.88999999,1.29,45,1.5
1.1900001,1.1900001,35,5
.88999999,1.29,45,2
.88999999,1.09,35,0
1.1900001,1.59,55,0
.58999997,.79000002,25,3
.88999999,1.29,15,0
1.1900001,1.59,85,1.3333334
.88999999,1.29,55,0
.88999999,1.29,15,0
1.1900001,1.59,25,.5
.88999999,1.09,95,0
.88999999,.88999999,45,2
.58999997,.58999997,75,2
.58999997,.58999997,25,4
.88999999,.88999999,55,3
.88999999,.88999999,55,2
.88999999,.88999999,65,.66666669
.58999997,.99000001,35,.33333334
.88999999,.88999999,45,0
.58999997,.99000001,65,1.3333334
.88999999,.88999999,95,.33333334
1.1900001,1.1900001,95,2
.88999999,1.09,75,1
.58999997,.58999997,75,1
.58999997,.58999997,55,1.3333334
.58999997,.58999997,35,0
1.1900001,1.59,65,0
.88999999,1.29,15,3
.58999997,.79000002,45,0
1.1900001,1.59,55,0
1.1900001,1.1900001,45,.66666669
.88999999,1.09,45,1
.88999999,.88999999,45,2.3333333
.88999999,1.09,75,1.6666666
.58999997,.79000002,15,.66666669
1.1900001,1.1900001,45,1
1.1900001,1.39,45,1.6666666
1.1900001,1.39,25,0
.88999999,1.09,35,1
.88999999,1.29,25,.33333334
.88999999,1.09,85,0
1.1900001,1.1900001,105,1.3333334
1.1900001,1.59,15,0
.88999999,.88999999,65,2
.58999997,.58999997,35,1
.88999999,.88999999,45,.5
.88999999,1.29,95,0
1.1900001,1.59,55,0
1.1900001,1.59,15,0
.58999997,.58999997,65,5
.58999997,.99000001,35,1
1.1900001,1.1900001,45,2
1.1900001,1.39,65,1
.58999997,.79000002,55,2
1.1900001,1.39,45,0
.88999999,.88999999,25,1.3333334
.58999997,.99000001,15,2
.88999999,1.29,45,0
.58999997,.79000002,35,0
.88999999,.88999999,25,.66666669
.88999999,1.29,55,0
1.1900001,1.59,65,2
1.1900001,1.1900001,55,0
.88999999,1.09,85,0
.88999999,1.09,65,3
.58999997,.58999997,45,2
1.1900001,1.1900001,25,1.6666666
.58999997,.99000001,55,1.6666666
.88999999,1.09,45,0
.88999999,.88999999,35,2
.88999999,.88999999,25,2
.88999999,1.29,65,1
.58999997,.99000001,25,0
1.1900001,1.39,75,1
.88999999,.88999999,35,0
1.1900001,1.59,55,0
.88999999,1.09,85,0
.58999997,.79000002,25,0
.58999997,.79000002,105,3.3333333
.88999999,1.09,35,2
1.1900001,1.1900001,25,1
.88999999,.88999999,25,.66666669
1.1900001,1.39,55,1.3333334
.58999997,.79000002,35,2
1.1900001,1.59,65,2
.58999997,.58999997,175,0
1.1900001,1.39,25,1
1.1900001,1.39,35,3
.88999999,1.29,15,.5
1.1900001,1.39,65,0
.58999997,.79000002,130,3.3333333
1.1900001,1.39,35,2
.58999997,.79000002,65,2
.58999997,.99000001,105,1
1.1900001,1.59,45,0
.58999997,.79000002,130,0
.88999999,1.29,25,0
1.1900001,1.1900001,85,3
.88999999,1.09,75,2
.88999999,1.29,105,0
.88999999,.88999999,65,0
.58999997,.79000002,45,1
.88999999,1.29,85,0
1.1900001,1.59,55,0
.88999999,1.09,75,0
.88999999,1.09,45,0
1.1900001,1.59,15,1
.58999997,.99000001,65,2
.88999999,.88999999,65,1.3333334
.88999999,1.09,75,1
1.1900001,1.59,95,.66666669
.88999999,1.09,35,0
.58999997,.58999997,65,1
.88999999,1.29,85,1
1.1900001,1.59,35,3
.58999997,.99000001,35,2
.58999997,.58999997,65,2
.58999997,.58999997,95,3
1.1900001,1.39,35,0
.58999997,.99000001,105,0
1.1900001,1.1900001,5,0
.58999997,.99000001,45,3
.88999999,1.09,65,.66666669
1.1900001,1.1900001,15,0
.58999997,.58999997,85,.66666669
1.1900001,1.59,35,0
1.1900001,1.39,65,4
.88999999,1.29,65,0
.88999999,.88999999,55,2.3333333
1.1900001,1.39,85,0
.58999997,.58999997,25,.5
.58999997,.58999997,75,2.5
1.1900001,1.1900001,35,2
1.1900001,1.1900001,35,5
.58999997,.79000002,25,0
1.1900001,1.59,35,1
.58999997,.79000002,45,.33333334
.88999999,1.29,15,1.5
1.1900001,1.39,5,0
.58999997,.58999997,95,1
.88999999,1.09,45,0
.58999997,.58999997,85,2
.58999997,.99000001,45,0
.88999999,.88999999,45,5
.58999997,.99000001,35,.66666669
.58999997,.79000002,55,0
.58999997,.58999997,65,2
.58999997,.79000002,35,1
1.1900001,1.1900001,75,2.5
1.1900001,1.1900001,25,3
.88999999,.88999999,65,5
.88999999,1.29,35,0
.58999997,.58999997,25,0
1.1900001,1.59,175,3.3333333
.88999999,1.09,15,0
.88999999,1.29,55,1.3333334
.58999997,.79000002,25,1
.58999997,.58999997,75,1
1.1900001,1.39,130,1
1.1900001,1.59,25,1.5
1.1900001,1.59,45,2.5
.88999999,1.29,15,1.3333334
1.1900001,1.59,65,5
.58999997,.99000001,55,2
.88999999,1.29,35,1
1.1900001,1.1900001,45,1.3333334
.88999999,1.09,175,5
.88999999,1.09,175,1.3333334
.58999997,.58999997,45,2
1.1900001,1.39,85,5
.88999999,.88999999,35,3
1.1900001,1.59,25,0
.58999997,.79000002,105,2
.58999997,.99000001,25,0
.58999997,.58999997,250,.66666669
.58999997,.58999997,75,1.6666666
1.1900001,1.39,45,.66666669
.58999997,.99000001,25,0
.88999999,.88999999,45,1.3333334
.58999997,.99000001,75,0
.88999999,1.29,35,0
.88999999,1.09,55,0
1.1900001,1.39,5,0
.88999999,1.09,130,2
.58999997,.58999997,55,1.6666666
.58999997,.58999997,45,1
.58999997,.58999997,65,1.3333334
.88999999,1.09,25,0
.88999999,1.09,75,1
.58999997,.79000002,35,0
.58999997,.79000002,55,0
.88999999,.88999999,45,1.6666666
.88999999,1.29,25,0
.88999999,1.09,35,2
.58999997,.58999997,65,2
.58999997,.79000002,130,0
1.1900001,1.59,15,0
1.1900001,1.1900001,45,1.5
1.1900001,1.1900001,55,2
.88999999,1.29,45,2
1.1900001,1.59,35,0
.88999999,1.29,45,2.5
.88999999,1.09,95,4
1.1900001,1.39,85,0
.58999997,.79000002,85,0
.88999999,.88999999,5,2
.58999997,.58999997,65,5
.58999997,.99000001,105,0
.88999999,1.29,65,0
.88999999,.88999999,35,1.6666666
.88999999,1.09,25,3
.88999999,1.29,55,.5
1.1900001,1.1900001,130,1
1.1900001,1.1900001,35,2
1.1900001,1.1900001,25,0
.58999997,.58999997,35,3
.88999999,1.29,35,0
1.1900001,1.39,45,0
.58999997,.99000001,65,.66666669
.88999999,.88999999,35,1
.58999997,.79000002,25,2
.88999999,.88999999,85,0
1.1900001,1.59,65,1
1.1900001,1.39,65,1.6666666
1.1900001,1.59,75,1.3333334
.88999999,.88999999,15,2
1.1900001,1.39,25,0
.58999997,.99000001,5,0
.88999999,1.09,85,0
.88999999,1.29,15,0
.58999997,.79000002,130,0
1.1900001,1.1900001,25,0
1.1900001,1.39,35,0
1.1900001,1.1900001,35,4
.88999999,1.29,15,1
.88999999,1.09,175,2
1.1900001,1.39,35,0
1.1900001,1.1900001,25,1.3333334
.88999999,1.09,35,0
1.1900001,1.1900001,35,5
.88999999,.88999999,75,0
1.1900001,1.39,25,2
.58999997,.99000001,35,0
.58999997,.79000002,35,3
1.1900001,1.39,5,0
.58999997,.58999997,35,.5
.58999997,.99000001,15,1
.58999997,.58999997,25,1
.88999999,.88999999,65,.33333334
.58999997,.79000002,45,3
.58999997,.79000002,35,0
.58999997,.58999997,45,1.6666666
1.1900001,1.1900001,45,0
1.1900001,1.39,75,.33333334
.58999997,.58999997,25,3
.58999997,.79000002,75,2
1.1900001,1.59,65,0
.58999997,.58999997,45,1.3333334
.88999999,1.29,5,0
.88999999,1.29,45,1
.58999997,.58999997,75,2
.88999999,1.09,95,5
1.1900001,1.59,25,3
1.1900001,1.1900001,75,0
.88999999,1.09,5,0
.58999997,.79000002,85,4
.58999997,.99000001,25,0
1.1900001,1.39,25,2
.58999997,.79000002,25,0
.58999997,.79000002,35,5
.88999999,1.09,25,0
.88999999,1.29,5,1
.88999999,1.09,15,0
.88999999,1.29,55,0
.58999997,.58999997,55,2
1.1900001,1.1900001,15,1.3333334
.58999997,.99000001,25,0
.58999997,.79000002,45,21
.58999997,.99000001,45,0
.58999997,.99000001,55,0
.88999999,1.09,35,0
1.1900001,1.39,55,3
.58999997,.58999997,75,.66666669
.88999999,.88999999,35,5
1.1900001,1.59,25,0
.88999999,.88999999,35,1
.88999999,.88999999,105,2
.58999997,.99000001,45,0
.88999999,1.29,25,0
.58999997,.79000002,45,3
.58999997,.58999997,25,3
.88999999,1.09,45,0
1.1900001,1.39,25,0
.58999997,.99000001,25,.5
.58999997,.99000001,35,0
1.1900001,1.59,105,2
.88999999,.88999999,55,1
.88999999,1.29,55,5
1.1900001,1.1900001,25,.33333334
.88999999,1.09,35,1.6666666
.58999997,.79000002,25,2
1.1900001,1.1900001,25,1
1.1900001,1.59,45,1.5
.58999997,.99000001,35,0
1.1900001,1.59,45,3
.88999999,.88999999,15,3
1.1900001,1.59,25,0
.88999999,.88999999,35,10.5
1.1900001,1.1900001,45,1
1.1900001,1.59,35,5
.88999999,1.29,45,.66666669
.88999999,.88999999,45,0
.58999997,.58999997,15,2
.58999997,.58999997,15,2
1.1900001,1.1900001,45,1
.58999997,.99000001,35,1
.88999999,.88999999,55,1
.88999999,.88999999,65,3
.58999997,.58999997,25,1
1.1900001,1.39,65,.66666669
.88999999,1.29,95,1
.88999999,.88999999,35,1.3333334
.58999997,.58999997,35,2
.58999997,.58999997,65,0
.58999997,.58999997,25,3
.58999997,.58999997,85,1
1.1900001,1.39,45,0
1.1900001,1.1900001,15,0
.58999997,.79000002,15,0
1.1900001,1.59,45,0
.58999997,.99000001,175,5
.58999997,.99000001,55,2
.58999997,.79000002,75,0
.88999999,.88999999,35,0
.58999997,.99000001,75,0
1.1900001,1.39,35,0
.88999999,1.29,25,0
1.1900001,1.59,35,0
.58999997,.79000002,85,0
.58999997,.58999997,35,.5
1.1900001,1.59,25,4
1.1900001,1.1900001,95,1
1.1900001,1.1900001,130,0
1.1900001,1.1900001,25,8
1.1900001,1.1900001,250,1.6666666
.88999999,1.09,65,2.3333333
.58999997,.79000002,25,0
.88999999,1.09,65,0
.58999997,.99000001,25,0
.88999999,.88999999,55,4
.58999997,.58999997,45,5
1.1900001,1.39,45,4
1.1900001,1.1900001,25,10.5
.58999997,.58999997,95,0
.88999999,1.29,250,1.6666666
