abil,educ,motheduc,fatheduc
5.0277381,15,12,12
2.0371704,13,12,10
2.4758952,15,12,16
3.6092398,15,12,12
2.6365459,13,12,15
3.4743342,18,12,12
-1.7648079,13,13,12
-.13359827,12,12,12
2.0724311,13,10,12
-.33845973,12,14,12
1.3807098,12,9,10
3.4127986,12,12,16
4.3654957,17,17,16
1.0904464,13,16,16
5.0827842,17,16,18
2.1290543,16,5,4
3.4697685,16,10,6
4.2689829,15,12,9
2.4176929,15,11,9
3.125001,20,11,8
4.2366443,14,10,12
5.3163571,15,16,12
2.6330404,13,14,15
3.046665,16,13,14
2.5708303,11,9,12
1.1122352,12,9,12
1.0885288,11,12,12
3.5426402,12,12,12
-.031696722,12,12,14
1.8908983,9,12,12
4.8026676,16,16,17
3.6462047,14,16,18
3.6096885,13,10,12
3.786006,15,13,12
1.7596163,11,12,12
2.1050098,12,12,12
1.5486392,14,12,12
2.9057336,18,16,17
2.492563,16,12,12
2.9362831,14,12,12
4.1947117,17,10,16
5.8989348,17,20,16
2.8716104,16,16,17
-.78823292,12,12,12
3.2864616,15,13,20
3.2557979,14,16,16
-1.9259791,8,9,10
2.3217826,15,12,12
2.8134353,12,12,16
4.5591154,15,12,16
2.7576752,15,12,12
.78973842,15,12,8
2.1513286,13,10,14
.55022591,12,10,15
-.3780224,10,9,9
3.5266898,14,12,12
2.1787515,12,12,12
4.1021004,16,12,12
2.3541219,19,13,8
-1.8695177,8,16,8
-.70818013,11,8,12
2.4667709,12,12,12
5.1760702,14,12,18
4.1892567,16,12,8
1.497999,12,12,12
3.0384529,15,12,18
2.4981976,13,12,12
.57382089,12,16,13
2.0096591,12,12,14
3.3864782,18,13,13
.40107772,12,12,12
-1.1186994,12,12,8
1.0476584,11,11,10
-.98397559,11,12,12
3.9446101,15,12,18
-1.0399191,12,12,12
2.8259821,12,12,10
5.719028,15,12,16
1.3550527,15,12,8
1.0379155,12,12,12
1.2433522,15,12,12
2.3709629,12,12,12
1.7812779,11,12,12
.5180065,15,12,13
2.9570401,15,12,12
-2.7411335,12,12,13
3.8018701,15,14,14
2.3166008,14,14,14
-2.2268219,11,4,4
4.5171695,12,11,12
3.9379861,12,11,12
-3.7846503,7,12,10
4.534225,12,12,12
3.5911369,16,16,16
2.8963256,12,12,12
-.033011764,12,14,11
2.0076046,12,12,16
3.9284778,19,16,20
5.0006876,19,16,20
-4.1184654,12,12,12
-3.4892559,12,12,11
2.4156144,12,8,8
-.22203657,12,7,12
1.9342402,12,12,12
-2.2727091,12,12,9
4.4981022,14,16,14
4.1428733,15,14,16
-3.4528763,12,12,12
.35360512,12,12,12
1.4470198,16,12,14
2.8296425,15,15,14
4.4212322,15,12,18
2.3132463,12,12,12
3.3491769,13,12,12
4.0525351,15,12,12
-2.551893,10,8,6
2.6375215,12,12,12
1.690285,17,12,12
3.8753533,18,16,16
3.4355404,17,16,16
1.31293,12,12,10
-1.2555829,11,12,10
1.239603,12,12,14
2.1258321,14,12,18
2.655087,12,12,12
3.7445102,12,16,12
-.52818793,12,12,12
-1.0554669,12,11,11
1.057115,9,9,10
-3.1826077,10,8,7
-.82272637,10,8,8
-1.1812452,12,12,12
-.5111351,11,9,16
1.5695326,12,12,16
4.4304752,16,12,16
3.2499709,15,12,12
4.5740991,16,12,16
1.235797,12,12,18
1.6147116,17,12,13
-.82578552,13,12,12
.57959074,12,12,12
3.7760303,12,12,12
5.9947424,12,12,12
2.3176086,12,12,16
1.4302603,17,14,16
3.8779945,18,12,16
3.9737763,12,12,12
3.0609992,12,12,15
-1.7296591,13,6,12
1.9315293,15,16,16
2.3901989,12,11,12
2.9145982,12,11,14
-1.0498585,12,16,16
.59872329,12,16,12
-3.4648468,12,9,9
-1.7753702,8,10,10
-1.9981309,8,10,10
-1.9482604,10,13,14
3.4270818,20,12,14
4.1896467,15,12,14
2.595268,12,12,18
3.9238219,16,17,17
4.4280949,17,16,13
.80882084,12,12,16
2.9392922,16,12,16
4.1122274,13,12,10
3.4360065,12,11,8
-.73961091,12,12,12
.56514627,12,12,12
3.3741384,16,12,12
3.4991252,12,10,14
-1.7721007,12,3,12
-2.458735,9,12,12
.26337507,8,12,12
.93633598,13,11,10
.35801485,10,9,9
2.033818,15,9,6
.31900731,12,8,8
-.44931361,11,12,9
.21147159,10,12,10
2.2729251,12,12,12
-2.7671394,12,8,6
.57153177,11,11,12
2.3424375,12,12,12
2.5842566,14,12,12
1.6599914,12,12,12
1.9501661,12,12,12
.56936318,11,12,8
-1.3107127,12,13,14
.035848048,15,13,14
-2.3094435,9,12,12
.8516435,12,12,12
1.4821378,12,12,14
.94114447,14,10,12
5.2754555,15,12,13
3.9710429,15,12,13
3.9349906,15,12,13
3.0846925,12,12,11
4.32687,15,11,12
1.4493988,12,12,12
-1.1713127,12,11,6
-1.5059906,12,12,12
3.72859,15,12,12
4.0426869,18,12,12
3.5759637,20,12,13
2.1359563,12,16,17
3.0326908,15,12,14
-1.3009042,12,12,12
-.29907981,14,12,12
-1.0318973,12,12,16
.30607471,15,16,16
3.3532529,16,12,16
.23909679,12,13,11
1.846734,12,12,11
1.8590354,12,13,12
3.010865,12,11,12
.7821424,12,14,16
.91174626,17,12,16
2.1772094,12,12,16
2.2297003,9,12,13
4.4773602,15,16,17
4.0733171,17,16,17
3.6781764,15,16,16
2.7244842,15,16,16
-.4576917,12,14,14
4.4355292,17,12,14
2.0747104,12,12,14
2.2173798,15,11,10
2.8796053,15,13,16
3.120147,15,12,12
.17935812,12,12,12
4.0180583,15,12,12
-.91459823,12,12,12
1.764937,12,10,11
4.0001001,15,12,13
3.7913952,15,12,14
4.2410922,14,12,12
.77353138,13,12,12
4.7386279,17,12,12
1.4664743,16,12,12
3.7402627,15,12,12
.88057792,12,12,12
2.6244133,12,12,12
1.9948577,12,12,12
-.42598721,12,12,12
4.0997376,14,15,16
4.6755333,15,15,16
4.703392,15,15,16
2.1481891,12,12,12
3.8534465,12,12,12
4.4246893,12,11,12
-.46759599,15,12,20
3.5107059,15,12,16
.96932459,12,12,15
1.577513,12,12,12
1.2564154,12,12,11
3.917685,15,10,12
1.121008,12,12,12
-2.533699,12,8,8
4.5515094,14,9,8
3.1712918,15,16,16
-3.8669381,8,12,16
-2.1599023,12,12,9
4.364584,16,8,12
4.2956905,17,12,12
2.8460879,15,12,12
3.6736846,16,12,16
.65034109,12,10,14
3.9942729,12,12,12
2.6872425,12,12,12
2.6858296,13,16,16
2.3455746,12,8,12
.62485254,10,8,5
.7989707,12,12,9
-2.1028852,11,12,7
2.257082,14,16,16
1.6464931,13,16,16
2.0181415,15,14,16
1.2919234,12,12,16
2.2787323,10,13,12
-2.9602704,15,12,18
.86033452,12,12,14
4.4841437,15,14,11
1.7925602,15,12,18
-.55789369,13,14,9
4.2078004,15,12,12
-3.9205363,8,10,12
-1.1071416,12,12,13
1.7695576,11,11,11
-1.3453572,13,13,12
.0075691789,9,12,12
-2.1411602,9,12,12
