movie,metascore,rating,runtime,genre1,release_date,release_year,rat_avg,rat_count,rat_poscount,rat_mixcount,rat_negcount,prodbudget,adbudget,franchise,source,domgross,intlgross,distributor
Double Take,25,PG-13,88,Action,12jan2001,2001,7.7,15,11,2,2,24000000,,,Remake,29831583,1771476,Walt Disney Pictures
Antitrust,31,PG-13,109,Drama,12jan2001,2001,6.1,18,10,5,3,30000000,,,Original Screenplay,11328094,6867516,MGM
Save the Last Dance,53,PG-13,112,Drama,12jan2001,2001,9.4,157,150,2,5,13000000,,,Original Screenplay,91057006,40649803,Paramount Pictures
The Pledge,71,R,124,Drama,19jan2001,2001,6.1,20,13,2,5,45000000,,,Based on Book/Short Story,19733089,9686202,Warner Bros.
The Amati Girls,29,PG,91,Drama,19jan2001,2001,9.1,7,6,1,0,,,,Original Screenplay,49136,,Providence Entertainment
R2PC: Road to Park City,41,R,83,Comedy,23jan2001,2001,,3,3,0,0,,,,,1216,,
The Wedding Planner,33,PG-13,103,Comedy,26jan2001,2001,6.6,31,20,3,8,28000000,,,Original Screenplay,60400856,34327673,Sony Pictures
Left Behind,22,R,96,Sci-Fi,02feb2001,2001,5.7,40,22,4,14,18500000,,,Based on Book/Short Story,4224065,,Cloud Ten Pictures
Head Over Heels,27,PG-13,86,Mystery,02feb2001,2001,5.6,11,6,0,5,14000000,,,Original Screenplay,10424470,2702552,Universal
Saving Silverman,22,R,90,Comedy,09feb2001,2001,7.7,48,40,4,4,22000000,,,Original Screenplay,19402030,6684676,Sony Pictures
Down to Earth,32,PG-13,87,Fantasy,16feb2001,2001,5.8,12,6,4,2,30000000,,,Remake,64186502,7000000,Paramount Pictures
Recess: School's Out,43,G,82,Sci-Fi,16feb2001,2001,8.4,23,20,0,3,10000000,,,Based on TV,36706141,7754709,Walt Disney Pictures
3000 Miles to Graceland,21,R,125,Action,23feb2001,2001,6.5,57,39,2,16,62000000,,,Original Screenplay,15749959,2970216,Warner Bros.
Monkeybone,40,PG-13,93,Fantasy,23feb2001,2001,6.9,15,10,1,4,75000000,,,Based on Comic/Graphic Novel,5411999,2210366,20th Century Fox
See Spot Run,24,PG,94,Comedy,02mar2001,2001,7.1,17,12,2,3,16000000,,,Original Screenplay,33357476,9700076,Warner Bros.
The Mexican,43,R,123,Action,02mar2001,2001,7,15,10,5,0,40000000,,,Original Screenplay,66845033,81000000,Dreamworks SKG
Series 7: The Contenders,55,R,86,Thriller,02mar2001,2001,8.800000000000001,17,16,1,0,,,,,195065,,USA Films
The Caveman's Valentine,44,R,105,Drama,02mar2001,2001,7.4,5,4,0,1,,,,Based on Book/Short Story,687194,240464,Focus Features
Blow Dry,38,R,94,Drama,07mar2001,2001,8.1,7,6,0,1,,,,Original Screenplay,637769,,Miramax
15 Minutes,34,R,120,Action,09mar2001,2001,4.6,17,6,6,5,42000000,,,Original Screenplay,24403552,31956428,New Line
Get Over It,52,R,87,Comedy,09mar2001,2001,8.300000000000001,32,27,0,5,10000000,,,Original Screenplay,11576464,8323902,Miramax
Long Night's Journey Into Day,85,,94,Documentary,09mar2001,2001,,1,1,0,0,,,,,50715,,Seventh Art Releasing
Kissing Jessica Stein,72,TV-MA,97,Drama,13mar2001,2001,8.1,17,14,2,1,1500000,1500000,,Based on Play,7025722,2987702,Fox Searchlight
Exit Wounds,39,R,101,Action,16mar2001,2001,7.6,18,14,2,2,33000000,,,Based on Book/Short Story,51758599,28200000,Warner Bros.
Keep the River on Your Right: A Modern Cannibal Tale,63,R,93,Adventure,16mar2001,2001,5.4,0,0,0,0,,,,,373366,,IFC
Memento,80,R,113,Mystery,16mar2001,2001,9.1,231,223,2,6,5000000,,,Based on Book/Short Story,25544867,14178229,Newmarket Films
American Desi,50,Unrated,100,Drama,16mar2001,2001,8.5,21,18,1,2,250000,,,Original Screenplay,907835,463400,Eros Entertainment
Enemy at the Gates,53,R,131,Drama,16mar2001,2001,7.6,36,32,1,3,85000000,,,Based on Real Life Events,51401758,45574512,Paramount Pictures
The Brothers,50,R,106,Drama,23mar2001,2001,,2,2,0,0,6000000,,,Original Screenplay,27457409,500782,Sony Pictures
Say It Isn't So,21,R,95,Comedy,23mar2001,2001,6,15,10,1,4,25000000,,,Original Screenplay,5520393,6800000,20th Century Fox
Heartbreakers,47,PG-13,123,Comedy,23mar2001,2001,7.1,18,14,2,2,38000000,,,Original Screenplay,40336607,17419801,MGM
All Access: Front Row. Backstage. Live!,56,,65,Documentary,06apr2001,2001,,2,2,0,0,,,,Based on Real Life Events,992683,,IMAX Films
Blow,52,R,124,Biography,06apr2001,2001,7.7,47,41,3,3,30000000,,,Based on Book/Short Story,52990775,30291521,New Line
The Girl,34,Unrated,84,Drama,06apr2001,2001,7.8,4,3,0,1,,,,,104883,,Artistic License
Joe Dirt,20,PG-13,91,Adventure,11apr2001,2001,8.4,120,104,4,12,16000000,,,Original Screenplay,27087695,3900000,Sony Pictures
Josie and the Pussycats,47,PG,98,Comedy,11apr2001,2001,8.199999999999999,37,30,3,4,22000000,,,Based on TV,14271015,595000,Universal
Kingdom Come,48,TV-14,94,Drama,11apr2001,2001,8.5,6,5,1,0,7000000,,,Based on Play,23249649,146400,Fox Searchlight
Lakeboat,59,R,98,Drama,13apr2001,2001,,2,2,0,0,,,,,5159,,Panorama Entertainment
The Body,21,PG-13,109,Drama,13apr2001,2001,4,6,2,1,3,,,,Based on Book/Short Story,36849,,Avalanche Releasing
Brigham City,62,PG-13,119,Drama,13apr2001,2001,8.5,8,7,0,1,1000000,,,Original Screenplay,852206,,Excel Entertainment
